query_short,calls,mean_ms,total_ms,rows,buffer_hit_pct,stddev_ms
"DECLARE ""_django_curs_131297787754176_sync_2"" NO SCROLL CURSOR WITH HOLD FOR SELECT ""discount_promotionrule"".""id"", ""disc",1,138.12,138.12,0,100.0,0.00
"DECLARE ""_django_curs_131297804539584_sync_5"" NO SCROLL CURSOR WITH HOLD FOR SELECT ""attribute_assignedvariantattribute""",1,81.86,81.86,0,100.0,0.00
"DECLARE ""_django_curs_131297804539584_sync_5"" NO SCROLL CURSOR WITH HOLD FOR SELECT ""attribute_assignedvariantattribute""",1,81.06,81.06,0,100.0,0.00
"DECLARE ""_django_curs_131297804539584_sync_2"" NO SCROLL CURSOR WITH HOLD FOR SELECT ""discount_promotionrule"".""id"", ""disc",1,80.79,80.79,0,100.0,0.00
"DECLARE ""_django_curs_131296873408192_sync_3"" NO SCROLL CURSOR WITH HOLD FOR SELECT ""discount_promotionrule"".""id"", ""disc",1,79.51,79.51,0,100.0,0.00
"DECLARE ""_django_curs_131297821324992_sync_5"" NO SCROLL CURSOR WITH HOLD FOR SELECT ""attribute_assignedvariantattribute""",1,77.64,77.64,0,100.0,0.00
"DECLARE ""_django_curs_131297812932288_sync_2"" NO SCROLL CURSOR WITH HOLD FOR SELECT ""discount_promotionrule"".""id"", ""disc",1,75.67,75.67,0,100.0,0.00
"DECLARE ""_django_curs_131298501977792_sync_2"" NO SCROLL CURSOR WITH HOLD FOR SELECT ""discount_promotionrule"".""id"", ""disc",1,69.03,69.03,0,100.0,0.00
"DECLARE ""_django_curs_131297804539584_sync_2"" NO SCROLL CURSOR WITH HOLD FOR SELECT ""discount_promotionrule"".""id"", ""disc",1,68.55,68.55,0,100.0,0.00
"DECLARE ""_django_curs_131297259275968_sync_2"" NO SCROLL CURSOR WITH HOLD FOR SELECT ""discount_promotionrule"".""id"", ""disc",1,62.24,62.24,0,100.0,0.00
