Timestamp,VU Count,Active CCU
1784915162,15,10
1784915164,25,25
1784915166,35,35
1784915168,45,45
1784915170,50,50
1784915172,50,50
1784915174,50,50
1784915176,50,50
1784915178,50,50
1784915180,50,50
1784915182,50,50
1784915184,50,50
1784915186,50,50
1784915188,50,50
1784915190,50,50
1784915192,50,50
1784915194,50,50
1784915196,50,50
1784915198,50,50
1784915200,50,50
1784915203,50,50
1784915205,50,50
1784915207,50,50
1784915209,50,50
1784915211,50,50
1784915213,50,50
1784915215,50,50
1784915217,50,50
1784915219,50,50
1784915221,50,50
1784915223,50,50
1784915225,50,50
1784915227,50,50
1784915229,50,50
1784915231,50,50
1784915233,50,49
1784915235,50,49
1784915237,50,49
1784915239,50,49
1784915241,50,49
1784915243,50,49
1784915245,50,49
1784915247,50,48
1784915249,50,48
1784915251,50,48
1784915253,50,48
1784915255,50,48
1784915257,50,48
1784915259,50,47
1784915261,50,48
1784915263,50,48
1784915265,50,48
1784915267,50,48
1784915269,50,49
1784915271,50,48
1784915273,50,49
1784915275,50,49
1784915277,50,49
1784915279,50,48
1784915281,50,46
1784915283,50,47
1784915285,50,47
1784915287,50,49
1784915289,50,48
1784915291,50,48
1784915293,50,47
1784915295,50,47
1784915297,50,48
1784915299,50,47
1784915301,50,48
1784915303,50,46
1784915305,50,47
1784915307,50,49
1784915309,50,49
1784915311,50,50
1784915313,50,50
1784915315,50,50
1784915317,50,50
1784915319,50,50
1784915321,50,50
1784915323,50,49
1784915325,50,49
1784915327,50,49
1784915329,50,49
1784915331,50,49
1784915333,50,49
1784915335,50,50
1784915337,50,50
1784915339,50,50
1784915341,50,50
1784915343,50,50
1784915345,50,49
1784915347,50,49
1784915349,50,49
1784915351,50,49
1784915353,50,49
1784915355,50,49
1784915357,50,49
1784915359,50,49
1784915361,50,49
1784915363,50,49
1784915365,50,48
1784915367,50,48
1784915369,50,48
1784915371,50,49
1784915373,50,49
1784915375,50,50
1784915377,50,50
1784915379,50,50
1784915381,50,50
1784915383,50,49
1784915385,50,49
1784915387,50,49
1784915389,50,49
1784915391,50,50
1784915393,50,50
1784915395,50,50
1784915397,50,50
1784915399,50,49
1784915401,50,49
1784915403,50,49
1784915405,50,49
1784915407,50,49
1784915409,50,49
