Timestamp,VU Count,Active CCU
1784917838,10,10
1784917840,20,20
1784917842,30,30
1784917844,40,40
1784917846,50,50
1784917848,50,50
1784917850,50,50
1784917852,50,50
1784917854,50,50
1784917856,50,50
1784917858,50,50
1784917860,50,50
1784917862,50,50
1784917864,50,50
1784917866,50,50
1784917868,50,50
1784917870,50,50
1784917872,50,50
1784917874,50,50
1784917876,50,50
1784917878,50,50
1784917880,50,50
1784917882,50,50
1784917884,50,50
1784917886,50,50
1784917888,50,50
1784917890,50,50
1784917892,50,50
1784917894,50,50
1784917896,50,50
1784917898,50,50
1784917900,50,50
1784917902,50,50
1784917904,50,50
1784917906,50,50
1784917908,50,49
1784917910,50,49
1784917912,50,49
1784917914,50,49
1784917916,50,49
1784917918,50,49
1784917920,50,49
1784917922,50,49
1784917924,50,49
1784917926,50,49
1784917928,50,49
1784917930,50,50
1784917932,50,50
1784917934,50,50
1784917936,50,50
1784917938,50,50
1784917940,50,50
1784917942,50,49
1784917944,50,49
1784917946,50,49
1784917948,50,49
1784917950,50,49
1784917952,50,49
1784917954,50,48
1784917956,50,47
1784917958,50,47
1784917960,50,47
1784917962,50,48
1784917964,50,47
1784917966,50,47
1784917968,50,47
1784917970,50,48
1784917972,50,47
1784917974,50,46
1784917976,50,45
1784917978,50,46
1784917980,50,48
1784917982,50,49
1784917984,50,48
1784917986,50,48
1784917988,50,48
1784917990,50,48
1784917992,50,48
1784917994,50,47
1784917996,50,47
1784917998,50,48
1784918000,50,48
1784918002,50,48
1784918004,50,48
1784918006,50,48
1784918008,50,49
1784918010,50,48
1784918012,50,47
1784918014,50,46
1784918016,50,46
1784918018,50,48
1784918020,50,48
1784918022,50,48
1784918024,50,49
1784918026,50,49
1784918028,50,49
1784918030,50,49
1784918032,50,49
1784918034,50,49
1784918036,50,49
1784918038,50,49
1784918040,50,49
1784918042,50,49
1784918044,50,49
1784918046,50,49
1784918048,50,50
1784918050,50,50
1784918052,50,50
1784918054,50,50
1784918056,50,50
1784918058,50,50
1784918061,50,50
1784918063,50,50
1784918065,50,50
