Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,_setup/variants,1,0,280.07666899998185,280.07666899998185,280.07666899998185,280.07666899998185,3575.0,0.001392145471427026,0.0,280,280,280,280,280,280,280,280,280,280,280
POST,browse/product_list,574,0,1400,2062.2954767177675,321.625643999937,15139.25829499999,3669.0,0.7990915005991129,0.0,1400,1700,2000,2200,3500,7200,11000,13000,15000,15000,15000
POST,checkout/1_create,205,0,8600,9283.679429702419,459.280258999911,27268.217389000027,255.0,0.28538982164254034,0.0,8600,11000,12000,13000,16000,18000,22000,22000,27000,27000,27000
POST,checkout/2_add_line,204,0,7900,10361.828232053902,2257.1814699999777,34458.618119999985,270.0049019607843,0.28399767617111327,0.0,7900,9400,11000,13000,21000,29000,33000,34000,34000,34000,34000
POST,checkout/3_shipping_addr,191,0,40000,40164.90577735602,13035.123197000075,71802.50639999985,473.1151832460733,0.26589978504256195,0.0,40000,46000,49000,52000,59000,63000,67000,71000,72000,72000,72000
POST,checkout/4_delivery,145,0,7000,7564.278996662078,2465.537051000183,26340.07261800002,283.11034482758623,0.20186109335691876,0.0,7000,8000,8800,9700,11000,13000,17000,19000,26000,26000,26000
POST,checkout/5_billing_addr,137,0,35000,36194.61350464232,13800.141917000019,76424.39353600002,220.0,0.19072392958550255,0.0,35000,40000,43000,47000,55000,64000,71000,71000,76000,76000,76000
POST,checkout/6_payment,136,0,4800,5155.57176576472,1858.853923999959,16283.699305000027,252.0,0.18933178411407553,0.0,4800,5300,5800,6000,7300,9100,12000,16000,16000,16000,16000
POST,checkout/7_complete,124,0,80000,80376.1837549274,41521.579685000004,132246.27791699982,244.0,0.1726260384569512,0.0,81000,88000,97000,102000,113000,117000,123000,132000,132000,132000,132000
POST,detail/product,100,0,1900,2440.392589970005,471.1159429998588,11004.046653000045,1131.75,0.1392145471427026,0.0,1900,2300,2800,3100,4100,8000,9400,11000,11000,11000,11000
POST,search/products,179,0,660,1203.0251086759777,164.1622939998797,8302.57676000008,278.7932960893855,0.24919403938543763,0.0,660,850,1100,1300,2600,5700,6700,7700,8300,8300,8300
,Aggregated,1996,0,5200,15057.70026556367,164.1622939998797,132246.27791699982,1305.6613226452905,2.778722360968344,0.0,5300,9200,16000,27000,47000,66000,91000,107000,132000,132000,132000
