Timestamp,VU Count,Active CCU
1784787821,10,10
1784787823,20,20
1784787825,30,30
1784787827,40,40
1784787829,50,50
1784787831,50,50
1784787833,50,50
1784787835,50,50
1784787837,50,50
1784787839,50,50
1784787841,50,50
1784787843,50,50
1784787845,50,50
1784787847,50,50
1784787849,50,50
1784787851,50,50
1784787853,50,50
1784787855,50,50
1784787857,50,49
1784787859,50,50
1784787861,50,49
1784787863,50,50
1784787865,50,50
1784787867,50,50
1784787869,50,50
1784787871,50,50
1784787873,50,50
1784787875,50,50
1784787877,50,50
1784787879,50,50
1784787881,50,50
1784787883,50,50
1784787885,50,50
1784787887,50,50
1784787889,50,50
1784787891,50,50
1784787893,50,50
1784787895,50,50
1784787897,50,50
1784787899,50,50
1784787901,50,49
1784787903,50,49
1784787905,50,50
1784787907,50,49
1784787909,50,48
1784787911,50,49
1784787913,50,49
1784787915,50,49
1784787917,50,49
1784787919,50,49
1784787921,50,50
1784787923,50,50
1784787925,50,49
1784787927,50,49
1784787929,50,48
1784787931,50,47
1784787933,50,46
1784787936,50,47
1784787938,50,47
1784787940,50,47
1784787942,50,47
1784787944,50,48
1784787946,50,47
1784787948,50,48
1784787950,50,49
1784787952,50,49
1784787954,50,49
1784787956,50,49
1784787958,50,49
1784787960,50,50
1784787962,50,48
1784787964,50,48
1784787966,50,48
1784787968,50,48
1784787970,50,48
1784787972,50,48
1784787974,50,48
1784787976,50,49
1784787978,50,50
1784787980,50,50
1784787982,50,49
1784787984,50,48
1784787986,50,48
1784787988,50,48
1784787990,50,48
1784787992,50,49
1784787994,50,49
1784787996,50,49
1784787998,50,49
1784788000,50,48
1784788002,50,47
1784788004,50,49
1784788006,50,48
1784788008,50,48
1784788010,50,49
1784788012,50,49
1784788014,50,48
1784788016,50,49
1784788018,50,49
1784788020,50,50
1784788022,50,50
1784788024,50,49
1784788026,50,49
1784788028,50,49
1784788030,50,49
1784788032,50,49
1784788034,50,49
1784788036,50,49
1784788038,50,50
1784788040,50,49
1784788042,50,49
1784788044,50,48
1784788046,50,47
1784788048,50,46
1784788050,50,47
1784788052,50,47
1784788054,50,48
1784788056,50,47
1784788058,50,48
1784788060,50,46
1784788062,50,46
1784788064,50,47
1784788066,50,46
1784788068,50,45
1784788070,50,47
1784788072,50,45
1784788074,50,45
1784788076,50,45
1784788078,50,47
1784788080,50,50
1784788082,50,50
1784788084,50,50
1784788086,50,49
1784788088,50,49
1784788090,50,49
1784788092,50,50
1784788094,50,50
1784788096,50,50
1784788098,50,50
1784788100,50,50
1784788102,50,49
1784788104,50,47
1784788106,50,46
1784788108,50,47
1784788110,50,47
1784788112,50,48
1784788114,50,47
1784788116,50,48
1784788118,50,47
1784788120,50,48
1784788122,50,47
1784788124,50,46
1784788126,50,46
1784788128,50,46
1784788130,50,45
1784788132,50,47
1784788134,50,46
1784788136,50,46
1784788138,50,45
1784788140,50,46
1784788142,50,46
1784788144,50,46
1784788146,50,47
1784788148,50,48
1784788150,50,48
1784788152,50,48
1784788154,50,49
1784788156,50,49
1784788158,50,48
1784788160,50,47
1784788162,50,47
1784788164,50,48
1784788166,50,48
1784788168,50,49
1784788170,50,49
1784788172,50,48
1784788175,50,49
1784788177,50,49
1784788179,50,48
1784788181,50,49
1784788183,50,49
1784788185,50,48
1784788187,50,48
1784788189,50,48
1784788191,50,47
1784788193,50,47
1784788195,50,49
1784788197,50,49
1784788199,50,49
1784788201,50,48
1784788203,50,48
1784788205,50,48
1784788207,50,49
1784788209,50,47
1784788211,50,47
1784788213,50,48
1784788215,50,47
1784788217,50,45
1784788219,50,45
1784788221,50,46
1784788223,50,46
1784788225,50,47
1784788227,50,46
1784788229,50,47
1784788231,50,47
1784788233,50,47
1784788235,50,47
1784788237,50,48
1784788239,50,47
1784788241,50,46
1784788243,50,46
1784788245,50,48
1784788247,50,47
1784788249,50,46
1784788251,50,47
1784788253,50,48
1784788255,50,47
1784788257,50,46
1784788259,50,46
