Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1784917063,35,POST,search/products,0.250000,0.000000,490,490,490,490,490,490,490,490,490,490,490,1,0,491.1332419978862,491.1332419978862,491.1332419978862,491.1332419978862,452.0
1784917063,35,,Aggregated,0.500000,0.000000,4200,4300,4600,4600,5100,5100,5100,5100,5100,5100,5100,8,0,4100,3410.3701577496395,421.7288949985232,5087.937148000492,1608.625
1784917064,40,POST,_setup/variants,0.166667,0.000000,420,420,420,420,420,420,420,420,420,420,420,1,0,421.7288949985232,421.7288949985232,421.7288949985232,421.7288949985232,3575.0
1784917064,40,POST,browse/product_list,0.333333,0.000000,6200,6200,6200,7000,7000,7000,7000,7000,7000,7000,7000,6,0,6000,5670.371322499705,4065.8501430007163,6994.2885269992985,3669.0
1784917064,40,POST,checkout/1_create,0.333333,0.000000,5100,5800,5800,6000,6000,6000,6000,6000,6000,6000,6000,5,0,5100,5041.720154201175,4059.2552080015594,5966.447888000403,255.0
1784917064,40,POST,detail/product,0.166667,0.000000,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,1,0,4231.854243997077,4231.854243997077,4231.854243997077,4231.854243997077,739.0
1784917064,40,POST,search/products,0.166667,0.000000,490,490,490,490,490,490,490,490,490,490,490,1,0,491.1332419978862,491.1332419978862,491.1332419978862,491.1332419978862,452.0
1784917064,40,,Aggregated,1.166667,0.000000,5100,6000,6000,6200,6200,7000,7000,7000,7000,7000,7000,14,0,4600,4598.253220499828,421.7288949985232,6994.2885269992985,2003.9285714285713
1784917065,45,POST,_setup/variants,0.142857,0.000000,420,420,420,420,420,420,420,420,420,420,420,1,0,421.7288949985232,421.7288949985232,421.7288949985232,421.7288949985232,3575.0
1784917065,45,POST,browse/product_list,0.285714,0.000000,6200,6200,6700,6700,7000,7000,7000,7000,7000,7000,7000,7,0,6200,5823.063197428252,4065.8501430007163,6994.2885269992985,3669.0
1784917065,45,POST,checkout/1_create,0.428571,0.000000,5800,5800,6000,6000,6800,6800,6800,6800,6800,6800,6800,6,0,5100,5338.831830834654,4059.2552080015594,6824.390214002051,255.0
1784917065,45,POST,detail/product,0.142857,0.000000,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,1,0,4231.854243997077,4231.854243997077,4231.854243997077,4231.854243997077,739.0
1784917065,45,POST,search/products,0.142857,0.000000,490,490,490,490,490,490,490,490,490,490,490,1,0,491.1332419978862,491.1332419978862,491.1332419978862,491.1332419978862,452.0
1784917065,45,,Aggregated,1.142857,0.000000,5800,6000,6200,6700,6800,7000,7000,7000,7000,7000,7000,16,0,5100,4871.196859249949,421.7288949985232,6994.2885269992985,1998.6875
1784917066,50,POST,_setup/variants,0.125000,0.000000,420,420,420,420,420,420,420,420,420,420,420,1,0,421.7288949985232,421.7288949985232,421.7288949985232,421.7288949985232,3575.0
1784917066,50,POST,browse/product_list,0.500000,0.000000,6200,6200,6700,6700,7000,7000,7000,7000,7000,7000,7000,7,0,6200,5823.063197428252,4065.8501430007163,6994.2885269992985,3669.0
1784917066,50,POST,checkout/1_create,0.375000,0.000000,5800,6000,6800,6800,6900,6900,6900,6900,6900,6900,6900,7,0,5800,5566.065951001032,4059.2552080015594,6929.470671999297,255.0
1784917066,50,POST,detail/product,0.125000,0.000000,6400,6400,8400,8400,8400,8400,8400,8400,8400,8400,8400,3,0,6400,6352.17927299891,4231.854243997077,8428.244213999278,737.6666666666666
1784917066,50,POST,search/products,0.125000,0.000000,490,490,490,490,490,490,490,490,490,490,490,1,0,491.1332419978862,491.1332419978862,491.1332419978862,491.1332419978862,452.0
1784917066,50,,Aggregated,1.250000,0.000000,6000,6200,6700,6800,7000,8400,8400,8400,8400,8400,8400,19,0,6000,5247.015999736744,421.7288949985232,8428.244213999278,1774.1052631578948
1784917067,50,POST,_setup/variants,0.125000,0.000000,420,420,420,420,420,420,420,420,420,420,420,1,0,421.7288949985232,421.7288949985232,421.7288949985232,421.7288949985232,3575.0
1784917067,50,POST,browse/product_list,0.500000,0.000000,6700,6700,7000,7000,7700,7700,7700,7700,7700,7700,7700,9,0,6200,6134.913474444248,4065.8501430007163,7721.52367200033,3669.0
1784917067,50,POST,checkout/1_create,0.375000,0.000000,6000,6800,6900,6900,7700,7700,7700,7700,7700,7700,7700,8,0,5800,5837.067670750912,4059.2552080015594,7734.079709000071,255.0
1784917067,50,POST,detail/product,0.125000,0.000000,6400,6400,8400,8400,8400,8400,8400,8400,8400,8400,8400,3,0,6400,6352.17927299891,4231.854243997077,8428.244213999278,737.6666666666666
1784917067,50,POST,search/products,0.125000,0.000000,490,490,490,490,490,490,490,490,490,490,490,1,0,491.1332419978862,491.1332419978862,491.1332419978862,491.1332419978862,452.0
