Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1784915160,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1784915161,5,POST,_setup/variants,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,341.6640010000265,341.6640010000265,341.6640010000265,341.6640010000265,3575.0
1784915161,5,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,341.6640010000265,341.6640010000265,341.6640010000265,341.6640010000265,3575.0
1784915162,10,POST,_setup/variants,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,341.6640010000265,341.6640010000265,341.6640010000265,341.6640010000265,3575.0
1784915162,10,POST,browse/product_list,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,1511.238922001212,1537.3416700003872,1511.238922001212,1563.4444179995626,3669.0
1784915162,10,,Aggregated,0.000000,0.000000,1500,1500,1600,1600,1600,1600,1600,1600,1600,1600,1600,3,0,1500,1138.782447000267,341.6640010000265,1563.4444179995626,3637.6666666666665
1784915163,15,POST,_setup/variants,0.000000,0.000000,340,340,340,340,340,340,340,340,340,340,340,1,0,341.6640010000265,341.6640010000265,341.6640010000265,341.6640010000265,3575.0
1784915163,15,POST,browse/product_list,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,1600,1763.1957230005355,1511.238922001212,2214.903829000832,3669.0
1784915163,15,POST,detail/product,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,2420.4353839995747,2420.4353839995747,2420.4353839995747,2420.4353839995747,739.0
1784915163,15,,Aggregated,0.000000,0.000000,1600,2200,2200,2400,2400,2400,2400,2400,2400,2400,2400,5,0,1600,1610.3373108002415,341.6640010000265,2420.4353839995747,3064.2
