Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,_setup/variants,1,0,421.7288949985232,421.7288949985232,421.7288949985232,421.7288949985232,3575.0,0.0013923929339881593,0.0,420,420,420,420,420,420,420,420,420,420,420
POST,browse/product_list,444,0,3500,4856.063690218428,576.295263999782,21856.95889699855,3669.0,0.6182224626907428,0.0,3500,4600,5800,6300,12000,16000,18000,19000,22000,22000,22000
POST,checkout/1_create,130,0,14000,17558.917229392548,2561.016791001748,45300.20776099991,255.0,0.18101108141846073,0.0,14000,22000,27000,29000,36000,41000,45000,45000,45000,45000,45000
POST,checkout/2_add_line,129,0,18000,21686.96920279856,2940.7431289982924,57676.02945099861,269.9612403100775,0.17961868848447254,0.0,18000,21000,25000,30000,49000,51000,53000,56000,58000,58000,58000
POST,checkout/3_shipping_addr,121,0,57000,65918.30942437184,10615.56550900059,160096.42407700085,479.90909090909093,0.1684795450125673,0.0,57000,81000,95000,113000,128000,141000,155000,157000,160000,160000,160000
POST,checkout/4_delivery,95,0,15000,15191.164910926376,3807.436699000391,28352.775382998516,283.1578947368421,0.13227732872887513,0.0,15000,18000,19000,21000,23000,26000,28000,28000,28000,28000,28000
POST,checkout/5_billing_addr,84,0,40000,46339.23506991657,4281.939248998242,153127.26400500105,220.0,0.11696100645500539,0.0,41000,58000,71000,77000,96000,111000,134000,153000,153000,153000,153000
POST,checkout/6_payment,82,0,9600,10504.96893513419,2949.5284959994024,22196.89383199875,252.0,0.11417622058702907,0.0,10000,12000,13000,13000,16000,18000,19000,22000,22000,22000,22000
POST,checkout/7_complete,71,0,80000,109107.94736435225,27709.409425002377,303266.1521420014,244.0,0.09885989831315932,0.0,80000,133000,154000,167000,228000,265000,288000,303000,303000,303000,303000
POST,detail/product,98,0,4300,5623.081928663056,1123.2713850004075,21769.390411998756,1034.9591836734694,0.13645450753083962,0.0,4300,5200,6100,6400,13000,17000,22000,22000,22000,22000,22000
POST,search/products,132,0,1900,3210.1842227801876,208.3802229972207,13412.566011000308,277.52272727272725,0.18379586728643704,0.0,2000,3000,4200,5200,8600,10000,11000,13000,13000,13000,13000
,Aggregated,1387,0,8600,21724.183265364085,208.3802229972207,303266.1521420014,1427.6005767844267,1.9312489994415771,0.0,8600,16000,21000,28000,57000,91000,145000,176000,288000,303000,303000
