Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,_setup/variants,1,0,341.6640010000265,341.6640010000265,341.6640010000265,341.6640010000265,3575.0,0.0013928954603736462,0.0,340,340,340,340,340,340,340,340,340,340,340
POST,browse/product_list,549,0,1900,2720.648823786818,521.8084810003347,15443.606757002271,3669.0,0.7646996077451318,0.0,1900,2600,3100,3700,5600,8000,10000,11000,15000,15000,15000
POST,checkout/1_create,164,0,14000,18214.482152055207,2970.663489002618,60754.054785000335,255.0,0.22843485550127798,0.0,14000,20000,24000,28000,38000,45000,53000,54000,61000,61000,61000
POST,checkout/2_add_line,162,0,9600,12202.93216298169,3415.1345300015237,35125.18972100224,269.98148148148147,0.2256490645805307,0.0,9900,13000,15000,17000,23000,27000,32000,33000,35000,35000,35000
POST,checkout/3_shipping_addr,151,0,52000,53199.717220980085,21277.9023050025,115297.33400400073,468.9205298013245,0.21032721451642059,0.0,52000,58000,62000,66000,79000,82000,87000,90000,115000,115000,115000
POST,checkout/4_delivery,113,0,8300,9718.840813168119,2513.8870800001314,27665.722632002144,283.13274336283183,0.15739718702222202,0.0,8300,9700,11000,12000,17000,22000,24000,25000,28000,28000,28000
POST,checkout/5_billing_addr,106,0,37000,40780.288536764136,14719.591604000016,113303.87088499992,220.0,0.1476469187996065,0.0,37000,44000,50000,53000,60000,70000,81000,82000,113000,113000,113000
POST,checkout/6_payment,106,0,5100,6693.756014632356,1894.287142000394,35656.942588000675,252.0,0.1476469187996065,0.0,5200,6000,7700,8300,11000,13000,29000,30000,36000,36000,36000
POST,checkout/7_complete,91,0,98000,101035.28730345044,53358.85743499966,174368.62132200258,244.0,0.12675348689400182,0.0,98000,112000,124000,127000,141000,151000,160000,174000,174000,174000,174000
POST,detail/product,100,0,2500,3286.239544829987,771.1752379982499,13424.084403999586,1098.42,0.13928954603736463,0.0,2500,3300,3900,4700,6400,9300,12000,13000,13000,13000,13000
POST,search/products,165,0,910,1291.8151117273683,206.53414100161172,6554.084872001113,292.3818181818182,0.22982775096165162,0.0,910,1200,1400,1700,2700,3600,5400,5900,6600,6600,6600
,Aggregated,1708,0,5600,17773.79834826467,206.53414100161172,174368.62132200258,1426.5427400468384,2.379065446318188,0.0,5600,11000,21000,30000,55000,77000,112000,128000,160000,174000,174000
